,date,week_day,month,daily_income,unique_visitors
505,2019-11-11,0,11,800.0,4
506,2019-11-12,1,11,150.0,4
507,2019-11-13,2,11,1820.0,7
508,2019-11-14,3,11,2150.0,3
509,2019-11-15,4,11,2890.0,7
510,2019-11-16,5,11,3600.0,7
511,2019-11-17,6,11,4450.0,7
512,2019-11-18,0,11,1550.0,7
513,2019-11-20,2,11,400.0,1
514,2019-11-21,3,11,1450.0,7
515,2019-11-22,4,11,2610.0,7
516,2019-11-23,5,11,2320.0,4
517,2019-11-24,6,11,3200.0,9
518,2019-11-25,0,11,0.0,1
519,2019-11-26,1,11,400.0,4
520,2019-11-27,2,11,600.0,1
521,2019-11-28,3,11,800.0,5
522,2019-11-29,4,11,1810.0,6
523,2019-11-30,5,11,5700.0,9
524,2019-12-01,6,12,1980.0,4
525,2019-12-02,0,12,100.0,2
526,2019-12-03,1,12,800.0,3
527,2019-12-04,2,12,0.0,1
528,2019-12-05,3,12,1200.0,4
529,2019-12-06,4,12,1100.0,4
530,2019-12-07,5,12,3090.0,7
531,2019-12-08,6,12,700.0,6
532,2019-12-09,0,12,150.0,5
533,2019-12-10,1,12,1750.0,6
534,2019-12-11,2,12,3450.0,7
535,2019-12-12,3,12,1100.0,4
536,2019-12-13,4,12,2760.0,6
537,2019-12-14,5,12,3990.0,9
538,2019-12-15,6,12,1750.0,6
539,2019-12-16,0,12,1050.0,4
540,2019-12-17,1,12,2130.0,7
541,2019-12-18,2,12,850.0,3
542,2019-12-19,3,12,600.0,2
543,2019-12-20,4,12,1400.0,4
544,2019-12-21,5,12,1600.0,5
545,2019-12-22,6,12,2690.0,8
546,2019-12-23,0,12,2570.0,6
547,2019-12-24,1,12,1180.0,6
548,2019-12-25,2,12,3800.0,9
549,2019-12-26,3,12,2550.0,3
550,2019-12-27,4,12,3100.0,7
551,2019-12-28,5,12,2180.0,9
552,2019-12-29,6,12,3000.0,3
553,2019-12-30,0,12,2570.0,5
554,2020-01-02,3,1,5150.0,10
555,2020-01-03,4,1,2170.0,6
556,2020-01-04,5,1,2600.0,4
557,2020-01-05,6,1,1800.0,5
558,2020-01-06,0,1,1510.0,4
559,2020-01-07,1,1,1370.0,6
560,2020-01-08,2,1,4390.0,9
561,2020-01-09,3,1,2300.0,4
562,2020-01-10,4,1,5600.0,8
563,2020-01-11,5,1,2700.0,8
564,2020-01-12,6,1,1350.0,5
565,2020-01-13,0,1,1200.0,4
566,2020-01-14,1,1,1250.0,5
567,2020-01-15,2,1,2300.0,4
568,2020-01-16,3,1,950.0,4
569,2020-01-17,4,1,4540.0,10
570,2020-01-18,5,1,2100.0,5
571,2020-01-19,6,1,39350.0,58
572,2020-01-20,0,1,42310.0,84
573,2020-01-21,1,1,32510.0,53
574,2020-01-22,2,1,73700.0,171
575,2020-01-23,3,1,2150.0,5
576,2020-01-24,4,1,1770.0,10
577,2020-01-25,5,1,3500.0,7
578,2020-01-26,6,1,2550.0,7
579,2020-01-27,0,1,1360.0,5
580,2020-01-28,1,1,900.0,7
581,2020-01-29,2,1,1070.0,6
582,2020-01-30,3,1,650.0,2
583,2020-01-31,4,1,4050.0,11
584,2020-02-01,5,2,5320.0,13
585,2020-02-02,6,2,1400.0,4
586,2020-02-03,0,2,250.0,5
587,2020-02-04,1,2,2250.0,4
588,2020-02-05,2,2,700.0,3
589,2020-02-06,3,2,400.0,4
590,2020-02-07,4,2,2750.0,6
591,2020-02-08,5,2,1100.0,6
592,2020-02-09,6,2,1450.0,7
593,2020-02-10,0,2,1000.0,6
594,2020-02-11,1,2,1600.0,4
595,2020-02-12,2,2,1300.0,6
596,2020-02-13,3,2,2000.0,5
597,2020-02-14,4,2,3350.0,9
598,2020-02-15,5,2,3250.0,9
599,2020-02-16,6,2,2370.0,9
600,2020-02-17,0,2,3350.0,6
601,2020-02-18,1,2,4400.0,8
602,2020-02-19,2,2,1700.0,6
603,2020-02-20,3,2,700.0,2
604,2020-02-21,4,2,2450.0,7
605,2020-02-22,5,2,1540.0,5
606,2020-02-23,6,2,5150.0,13
607,2020-02-24,0,2,2450.0,7
608,2020-02-25,1,2,1700.0,4
609,2020-02-26,2,2,1350.0,5
610,2020-02-27,3,2,1350.0,6
611,2020-02-28,4,2,2570.0,10
612,2020-02-29,5,2,2750.0,9
613,2020-03-01,6,3,3700.0,6
614,2020-03-02,0,3,840.0,2
615,2020-03-03,1,3,900.0,5
616,2020-03-04,2,3,2900.0,8
617,2020-03-05,3,3,1470.0,6
618,2020-03-06,4,3,2600.0,6
619,2020-03-07,5,3,4020.0,11
620,2020-03-08,6,3,1970.0,6
621,2020-03-09,0,3,1870.0,5
622,2020-03-10,1,3,850.0,5
623,2020-03-11,2,3,2050.0,6
624,2020-03-12,3,3,2750.0,9
625,2020-03-13,4,3,4800.0,12
626,2020-03-14,5,3,7260.0,15
627,2020-03-15,6,3,3100.0,8
628,2020-03-16,0,3,550.0,4
629,2020-03-17,1,3,400.0,3
630,2020-03-18,2,3,500.0,3
631,2020-03-19,3,3,600.0,3
632,2020-03-20,4,3,1300.0,4
633,2020-03-21,5,3,1450.0,4
634,2020-03-22,6,3,1140.0,4
635,2020-03-23,0,3,1370.0,7
636,2020-03-24,1,3,1750.0,5
637,2020-03-25,2,3,700.0,4
638,2020-07-31,4,7,2850.0,7
639,2020-08-01,5,8,2400.0,6
640,2020-08-02,6,8,600.0,3
641,2020-08-03,0,8,1300.0,3
642,2020-08-04,1,8,2400.0,3
643,2020-08-06,3,8,700.0,3
644,2020-08-07,4,8,2450.0,7
645,2020-08-08,5,8,2800.0,3
646,2020-08-09,6,8,1100.0,3
647,2020-08-10,0,8,1200.0,4
648,2020-08-12,2,8,2100.0,5
649,2020-08-13,3,8,650.0,3
650,2020-08-14,4,8,1500.0,6
651,2020-08-15,5,8,1450.0,5
652,2020-08-16,6,8,100.0,1
653,2020-08-17,0,8,550.0,2
654,2020-08-18,1,8,850.0,2
655,2020-08-19,2,8,1000.0,2
656,2020-08-20,3,8,4900.0,8
657,2020-08-21,4,8,1200.0,4
658,2020-08-22,5,8,750.0,4
659,2020-08-23,6,8,3100.0,6
660,2020-08-24,0,8,1450.0,3
661,2020-08-25,1,8,1550.0,4
662,2020-08-26,2,8,550.0,2
663,2020-08-27,3,8,1200.0,3
664,2020-08-28,4,8,800.0,2
665,2020-08-29,5,8,1400.0,5
666,2020-08-30,6,8,5050.0,10
667,2020-08-31,0,8,2300.0,6
668,2020-09-01,1,9,2000.0,8
669,2020-09-02,2,9,1000.0,4
670,2020-09-03,3,9,1100.0,4
671,2020-09-04,4,9,1710.0,6
672,2020-09-05,5,9,2160.0,7
673,2020-09-06,6,9,3200.0,9
674,2020-09-07,0,9,1200.0,2
675,2020-09-08,1,9,2000.0,4
676,2020-09-09,2,9,1800.0,5
677,2020-09-10,3,9,650.0,2
678,2020-09-11,4,9,800.0,2
679,2020-09-12,5,9,2060.0,5
680,2020-09-13,6,9,3650.0,5
681,2020-09-14,0,9,500.0,2
682,2020-09-15,1,9,900.0,3
683,2020-09-16,2,9,760.0,2
684,2020-09-17,3,9,1810.0,4
685,2020-09-18,4,9,2750.0,8
686,2020-09-19,5,9,2650.0,8
687,2020-09-20,6,9,5200.0,7
688,2020-09-21,0,9,2610.0,6
689,2020-09-22,1,9,1300.0,3
690,2020-09-23,2,9,2200.0,3
691,2020-09-24,3,9,2400.0,7
692,2020-09-25,4,9,1250.0,5
693,2020-09-26,5,9,450.0,3
694,2020-09-27,6,9,2250.0,5
695,2020-09-28,0,9,500.0,2
696,2020-09-29,1,9,700.0,2
697,2020-09-30,2,9,1660.0,4
698,2020-10-01,3,10,1150.0,4
699,2020-10-02,4,10,4020.0,5
